Disease	Code
Primary Tumor	C8509
Primary	C8509
Primary Neoplasm	C8509
Solid tumor, NOS	C9292
solid tumor	C9292
Solid Tumour	C9292
Solid Tumor	C9292
Solid Neoplasm	C9292
Mesenchymal Cell Neoplasm	C7059
Mesenchymal Tumor	C7059
Mesenchymal Cell Tumor	C7059
Mesenchymal Neoplasm	C7059
Neural Neoplasm	C35562
Neuroepithelial, Perineurial, and Schwann Cell Neoplasm	C35562
Neural Tumor	C35562
Epithelioma	C3709
Epithelial Neoplasm	C3709
Epithelioma, malignant	C3709
Epithelial Neoplasms, NOS	C3709
Giant Cell Neoplasm	C7069
Melanocytic Neoplasm	C7058
Mesothelioma, NOS	C3786
Mesothelial Neoplasm	C3786
Mesothelial Tumor	C3786
Mesothelioma	C3786
Mesothelial Neoplasms	C3786
mesothelioma	C3786
Neoplasm of Germ Cell	C3708
Germ Cell Neoplasms	C3708
Tumor of Germ Cell	C3708
Germ cell tumor, NOS	C3708
Tumor of the Germ Cell	C3708
Germ Cell Tumor	C3708
Germ Cell Neoplasm	C3708
Neoplasm of the Germ Cell	C3708
germ cell tumor	C3708
Hematopoietic and Lymphoid Neoplasm	C27134
Hematopoietic malignancy, NOS	C27134
hematologic cancer	C27134
Malignant Hematopoietic Neoplasm	C27134
Hematologic Cancer	C27134
HEMOLYMPHORETICULAR TUMOR, MALIGNANT	C27134
Malignant Hematologic Neoplasm	C27134
Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified	C27134
Hematological Neoplasm	C27134
Hematopoietic Neoplasm	C27134
Hematologic Neoplasm	C27134
Hematopoietic Neoplasms Including Lymphomas	C27134
Hematopoietic and Lymphoid Cell Neoplasm	C27134
Endocrine System Neoplasm	C3010
Endocrine Neoplasm	C3010
Endocrine Tumor	C3010
Endocrine System Tumor	C3010
Skeletal and Soft Tissue Tumor	C3810
Musculoskeletal and Soft Tissue Tumor	C3810
Skeletal and Soft Tissue Neoplasm	C3810
Tumor of Soft Tissue and Skeleton	C3810
Neoplasm of Skeletal and Soft Tissue	C3810
Tumor of Skeletal and Soft Tissue	C3810
Neoplasm of Soft Tissue and Bone	C3810
Connective and Soft Tissue Neoplasm	C3810
Soft Tissue and Bone Neoplasm	C3810
Soft Tissue and Bone Tumor	C3810
Connective and Soft Tissue Tumor	C3810
Neoplasm of Soft Tissue and Skeleton	C3810
Musculoskeletal and Soft Tissue Neoplasm	C3810
Tumor of Soft Tissue and Bone	C3810
Ocular Neoplasm	C3030
Ocular Tumor	C3030
Tumor of Eye	C3030
Eye Neoplasm	C3030
Neoplasm of the Eye	C3030
Tumor of the Eye	C3030
Eye Tumor	C3030
Neoplasm of Eye	C3030
Tumor of the Thorax	C3406
Neoplasm of the Thorax	C3406
Neoplasm of Thorax	C3406
Thoracic Neoplasm	C3406
Tumor of Thorax	C3406
Thoracic Tumor	C3406
Skin Neoplasm	C3372
Tumor of Skin	C3372
Skin Tumor	C3372
Neoplasm of Skin	C3372
Skin Neoplasms	C3372
Neoplasm of the Skin	C3372
Tumor of the Skin	C3372
Breast Neoplasm	C2910
Tumor of the Breast	C2910
Neoplasm of the Breast	C2910
Neoplasm of Breast	C2910
Tumor of Breast	C2910
Breast Tumor	C2910
Neoplasm of Nervous System	C3268
Nervous System Tumour	C3268
Nervous System Neoplasms	C3268
Tumor of Nervous System	C3268
Tumor of the Nervous System	C3268
Neoplasm of the Nervous System	C3268
Nervous System Neoplasm	C3268
Nervous System Tumor	C3268
Peritoneal and Retroperitoneal Neoplasm	C7337
Peritoneal and Retroperitoneal Tumor	C7337
Genitourinary System Neoplasm	C156482
Digestive System Tumor	C3052
Gastrointestinal Tumor	C3052
GI Tumor	C3052
Tumor of Digestive System	C3052
Gastrointestinal System Tumor	C3052
Digestive Neoplasm	C3052
Neoplasm of the GI System	C3052
Neoplasm of the Digestive System	C3052
Digestive System Neoplasm	C3052
Gastrointestinal Neoplasm	C3052
Tumor of the GI System	C3052
Digestive Tumor	C3052
Neoplasm of the Gastrointestinal System	C3052
Tumor of the Gastrointestinal System	C3052
Neoplasm of Digestive System	C3052
Tumor of GI System	C3052
GI System Tumor	C3052
Neoplasm of Gastrointestinal System	C3052
GI Neoplasm	C3052
GI System Neoplasm	C3052
Tumor of Gastrointestinal System	C3052
Gastrointestinal System Neoplasm	C3052
Neoplasm of GI System	C3052
Tumor of the Digestive System	C3052
Cardiovascular Neoplasm	C4784
Cardiovascular Tumor	C4784
Head and Neck Tumor	C3077
Neoplasm of Head and Neck	C3077
Tumor of the Head and Neck	C3077
Head and Neck Neoplasm (Excluding Central Nervous System)	C3077
Neoplasm of the Head and Neck	C3077
Head and Neck Neoplasm	C3077
Tumor of Head and Neck	C3077
Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified	C35813
Hematopoietic and Lymphoid System Tumor	C35813
Hematopoietic and Lymphatic System Neoplasm	C35813
Hematopoietic and Lymphoid System Neoplasm	C35813
Respiratory System Neoplasm	C3355
Respiratory Tract Neoplasm	C3355
Spinal Neoplasm	C168693
Choriocarcinoma-Like Lesion	C192105
CTT	C192105
Cystic Trophoblastic Tumor	C192105
Pediatric Multilocular Cystic Kidney Neoplasm	C6566
Pediatric Multilocular Cystic Renal Neoplasm	C6566
Childhood Multilocular Cystic Renal Neoplasm	C6566
Childhood Multilocular Cystic Kidney Neoplasm	C6566
Pediatric Multilocular Cystic Kidney Tumor	C6566
Pediatric Multilocular Cystic Renal Tumor	C6566
Childhood Multilocular Cystic Renal Tumor	C6566
Childhood Multilocular Cystic Kidney Tumor	C6566
Benign cystic nephroma	C7504
Cystic Nephroma	C7504
Adult Cystic Nephroma	C7504
Cystic teratoma, NOS	C9014
Cystic Teratoma	C9014
Ameloblastoma, Unicystic Type	C39756
UAM	C39756
Unicystic Ameloblastoma	C39756
Cystadenoma	C2972
Cystoma	C2972
CYSTADENOMA, BENIGN	C2972
Cystadenoma, NOS	C2972
Craniopharyngeal Tumor	C2964
Neoplasm of Rathke's Pouch	C2964
Craniopharyngioma (WHO Grade 1)	C2964
Craniopharyngioma	C2964
Craniopharyngioma (WHO Grade I)	C2964
craniopharyngioma	C2964
CRANIOPHARYNGIOMA, BENIGN	C2964
Benign neoplasm of craniopharyngeal duct	C2964
Rathke's Pouch Tumor	C2964
Cystoma	C2964
Rathke's Pouch Neoplasm	C2964
Tumor of Rathke's Pouch	C2964
Rathke Pouch Neoplasm	C2964
Rathke Pouch Tumor	C2964
Rathke pouch tumor	C2964
Pancreatic Cystic Neoplasm	C200227
Aneurysmal Cyst of Bone	C3516
Aneurysmal Bone Cyst	C3516
Aneurysmal Cyst of the Bone	C3516
ABC	C3516
Pulmonary Mucinous Cystic Tumor of Low or Borderline Malignancy	C201978
Lung Mucinous Cystic Tumor of Borderline Malignancy	C201978
Mucinous cystic tumor of borderline malignancy	C201978
Lung Mucinous Cystic Tumor of Low or Borderline Malignancy	C201978
Pulmonary Mucinous Cystic Tumor of Borderline Malignancy	C201978
Cystadenocarcinoma	C2971
CYSTADENOCARCINOMA, MALIGNANT	C2971
Cystadenocarcinoma, NOS	C2971
Intermediate Mesothelioma	C3765
Multicystic Mesothelioma	C3765
Multicystic mesothelioma, benign	C3765
Cystic Mesothelioma	C3765
ADENOMA, RETE TESTIS, BENIGN	C39956
Rete Testis Adenoma	C39956
Liver MH	C5751
Liver Mesenchymal Hamartoma	C5751
Mesenchymal Hamartoma of the Liver	C5751
Mesenchymal Hamartoma of Liver	C5751
HMH	C5751
Hepatic Mesenchymal Hamartoma	C5751
Renal Cystadenocarcinoma	C4524
Multilocular Clear Cell Renal Cell Carcinoma	C4524
Multilocular Cystic Renal Neoplasm of Low Malignant Potential	C4524
Multilocular Cystic Renal Cell Cancer	C4524
Papillary cystic tumor	C4179
Papillary Cystic Tumor	C4179
Papillary Cystic Neoplasm	C4179
Old Burn Scar-Related Neoplasm	C27771
Alcohol-Related Carcinoma	C27927
Immunodeficiency-Related Neoplasm	C27936
Immunosuppression-Related Neoplasm	C27936
Infection-Related Neoplasm	C27224
Environment-Related Neoplasm	C27225
Therapy Related Neoplasm	C3487
Therapy Related Tumor	C3487
Therapy-Related Neoplasm	C3487
Occupational Neoplasm	C27935
Tobacco-Related Carcinoma	C27236
Radiation-Induced Neoplasm	C3265
Radiation-Related Neoplasm	C3265
Radiation Induced Neoplasm	C3265
Haemangioblastoma	C3801
Angioblastoma	C3801
Capillary Hemangioblastoma	C3801
Hemangioblastoma	C3801
Epithelioid Neoplasm with GLI1 Rearrangement	C202896
GLI1-Altered Epithelioid Soft Tissue Tumor	C202896
GLI1-Altered Soft Tissue Tumor	C202896
Pericytoma with t(7;12)	C202896
GAESTT	C202896
Malignant tumor, spindle cell type	C27091
Malignant Spindle Cell Tumor	C27091
Malignant Spindle Cell Neoplasm	C27091
spindle cell cancer	C27091
Spindle Cell Cancer	C27091
Papillary Epithelial Neoplasm	C8429
PTPR	C92624
Papillary tumor of the pineal region	C92624
Papillary Tumor of the Pineal Region	C92624
Osteoclastic Giant Cell-Rich Tumor of Bone	C3738
Osteoclastic Giant Cell-Rich Tumor of the Bone	C3738
Chondroblastoma, NOS	C2945
Chondroblastoma	C2945
Chondroblastoma, Not Otherwise Specified	C2945
Aneurysmal Cyst of Bone	C3516
Aneurysmal Bone Cyst	C3516
Aneurysmal Cyst of the Bone	C3516
ABC	C3516
Desmoplastic Fibroma of the Bone	C3740
Osseous Desmoplastic Fibroma	C3740
Desmoplastic Fibroma	C3740
OSTEOFIBROMA, BENIGN	C3740
Desmoplastic fibroma	C3740
Desmoplastic Fibroma of Bone	C3740
Bone Desmoplastic Fibroma	C3740
Desmoid Tumor of Bone	C3740
Cranial Nodular Fasciitis	C27248
Cranial Pseudosarcomatous Fasciitis	C27248
Solitary Plasmacytoma of Bone	C7812
Bone Solitary Plasmacytoma	C7812
SPB	C7812
Solitary Osseous Plasmacytoma	C7812
Refractory Neuroendocrine Neoplasm	C157131
Refractory Neoplastic Post-Transplant Lymphoproliferative Disorder	C188179
resistant cancer	C120186
Refractory Malignant Neoplasm	C120186
clinical resistance	C120186
refractory cancer	C120186
Refractory Cancer	C120186
Refractory Desmoid Fibromatosis	C175670
Refractory Desmoid-Type Fibromatosis	C175670
Endocrine Therapy Resistant Neoplasm	C200652
Hormone Resistant Neoplasm	C200652
Endocrine Therapy Refractory Neoplasm	C200652
Hormone Therapy Resistant Neoplasm	C200652
Hormone Therapy Refractory Neoplasm	C200652
Hormone Refractory Neoplasm	C200652
Refractory Histiocytic and Dendritic Cell Neoplasm	C134168
Refractory PEComa	C193458
Refractory Lymphomatoid Granulomatosis	C202989
Refractory LYG	C202989
Refractory Angiocentric Immunoproliferative Lesion	C202989
Refractory Solitary Fibrous Tumor	C193456
Refractory Hemangiopericytoma	C193456
Refractory Central Nervous System Neoplasm	C71701
Refractory Primary Central Nervous System Tumor	C71701
Refractory Primary Central Nervous System Neoplasm	C71701
Borderline Testicular Adnexa Serous Tumor	C192124
Paratesticular Serous Tumor of Borderline Malignancy	C192124
Testicular Adnexa Serous Tumor of Borderline Malignancy	C192124
Borderline Paratesticular Serous Tumor	C192124
Atypical Neurofibroma	C178255
AN	C178255
Atypical Neurofibromatous Neoplasm of Uncertain Biologic Potential	C178255
ANUBP	C178255
AN/ANUBP	C178255
Atypical Neurofibromatous Neoplasm with Uncertain Biologic Potential	C178255
Prostatic Stromal Tumor of Uncertain Malignant Potential	C39905
Prostate Stromal Tumor of Uncertain Malignant Potential	C39905
STUMP	C39905
Prostate Stromal Proliferation of Uncertain Malignant Potential	C39905
Renal Cystadenocarcinoma	C4524
Multilocular Clear Cell Renal Cell Carcinoma	C4524
Multilocular Cystic Renal Neoplasm of Low Malignant Potential	C4524
Multilocular Cystic Renal Cell Cancer	C4524
Glomus Tumor of Uncertain Malignant Potential	C27497
Borderline Fallopian Tube Tumor	C40106
Fallopian Tube Neoplasm of Low Malignant Potential	C40106
Borderline Fallopian Tube Neoplasm	C40106
Gastrointestinal Stromal Tumor of Uncertain Malignant Potential	C54000
Gastrointestinal stromal tumor, uncertain malignant potential	C54000
Phyllodes tumor, borderline	C7503
Borderline Phyllodes Tumor	C7503
Borderline Phyllodes Neoplasm	C7503
B-Cell Proliferation of Uncertain Malignant Potential	C7182
Paratesticular Mucinous Tumor of Borderline Malignancy	C192127
Borderline Paratesticular Mucinous Tumor	C192127
Testicular Adnexa Mucinous Tumor of Borderline Malignancy	C192127
Borderline Testicular Adnexa Mucinous Tumor	C192127
Borderline Ovarian Epithelial Tumor	C4783
Borderline Ovarian Surface Epithelial-Stromal Tumor	C4783
Epithelial Tumor of the Ovary of Borderline Malignancy	C4783
Ovarian tum. of low malig. poten.	C4783
Epithelial Ovarian Tumor of Borderline Malignancy	C4783
Epithelial Tumor of Ovary of Borderline Malignancy	C4783
Borderline Epithelial Tumor of Ovary	C4783
ovarian borderline malignant tumor	C4783
ovarian low malignant potential tumor	C4783
Borderline Epithelial Tumor of the Ovary	C4783
Epithelial Neoplasm of the Ovary of Borderline Malignancy	C4783
Low Malignant Potential Ovarian Tumor	C4783
Borderline Epithelial Neoplasm of the Ovary	C4783
Epithelial Ovarian Neoplasm of Borderline Malignancy	C4783
Epithelial Neoplasm of Ovary of Borderline Malignancy	C4783
Borderline Ovarian Epithelial Neoplasm	C4783
Borderline Epithelial Neoplasm of Ovary	C4783
Ovarian tumors of low malignant potential	C4783
T-Cell Proliferation of Uncertain Malignant Potential	C27897
Borderline Serous Cystadenofibroma	C158622
Borderline Exocrine Pancreatic Tumor	C5716
Neoplasm of Uncertain Malignant Potential of the Exocrine Pancreas	C5716
Borderline Tumor of Exocrine Pancreas	C5716
Borderline Neoplasm of the Exocrine Pancreas	C5716
Neoplasm of Uncertain Malignant Potential of Exocrine Pancreas	C5716
Borderline Tumor of the Exocrine Pancreas	C5716
Exocrine Pancreatic Neoplasm of Uncertain Malignant Potential	C5716
Borderline Neoplasm of Exocrine Pancreas	C5716
Borderline Exocrine Pancreatic Neoplasm	C5716
Tumor of Uncertain Malignant Potential of the Exocrine Pancreas	C5716
Tumor of Uncertain Malignant Potential of Exocrine Pancreas	C5716
Exocrine Pancreatic Tumor of Uncertain Malignant Potential	C5716
Borderline Cystadenoma	C4711
Pulmonary Mucinous Cystic Tumor of Low or Borderline Malignancy	C201978
Lung Mucinous Cystic Tumor of Borderline Malignancy	C201978
Mucinous cystic tumor of borderline malignancy	C201978
Lung Mucinous Cystic Tumor of Low or Borderline Malignancy	C201978
Pulmonary Mucinous Cystic Tumor of Borderline Malignancy	C201978
Serous Borderline Broad Ligament Tumor/Atypical Proliferative Serous Broad Ligament Tumor	C126469
Borderline Broad Ligament Serous Tumor	C126469
Borderline Peritoneal Serous Tumor	C40024
Primary Borderline Peritoneal Epithelial Neoplasm	C40024
Primary Peritoneal Borderline Epithelial Tumor	C40024
Primary Peritoneal Serous Borderline Tumor/ Primary Peritoneal Atypical Proliferative Serous Tumor	C40024
Primary Peritoneal Serous Borderline Tumor	C40024
Peritoneal Serous Borderline Tumor	C40024
Primary Peritoneal Borderline Epithelial Neoplasm	C40024
Peritoneal SBT	C40024
Primary Borderline Peritoneal Epithelial Tumor	C40024
Thyroid Gland Tumor of Uncertain Malignant Potential	C187284
Thyroid Gland Neoplasm of Uncertain Malignant Potential	C187284
Bladder Urothelial Proliferation of Uncertain Malignant Potential	C27880
STUMP	C202851
Smooth Muscle Tumor of Uncertain Malignant Potential	C202851
Localized Malignant Neoplasm	C8576
Localized Malignancy	C8576
Localized Cancer	C8576
Local Cancer	C8576
local cancer	C8576
Localized Brain Neoplasm	C4952
Non-Metastatic Brain Neoplasm	C4952
Nodular Amyloidosis	C8323
Tumoral Amyloidosis	C8323
Amyloid Tumor	C8323
Localized AL Amyloidosis	C8323
Non-Metastatic GTT	C9176
Non-Metastatic Gestational Trophoblastic Tumor	C9176
Non-Metastatic Gestational Trophoblastic Neoplasm	C9176
Nonmetastatic Gestational Trophoblastic Tumor	C9176
Infection-Related Malignancy	C27223
Infection Related Malignancy	C27223
Infection-Related Cancer	C27223
Infection-Related Malignant Neoplasm	C27223
Infection Related Cancer	C27223
Malignant Tumor of the Germ Cell	C4925
Malignant Tumor of Germ Cell	C4925
Malignant Germ Cell Tumor	C4925
Malignant Neoplasm of the Germ Cell	C4925
Germ cell cancer, NOS	C4925
Malignant Germ Cell Neoplasm	C4925
Malignant Neoplasm of Germ Cell	C4925
Metachronous Malignant Neoplasm	C38156
Recurrent Cancer	C4813
Recurrent Malignant Neoplasm	C4813
recurrent cancer	C4813
recurrence	C4813
Recurrence	C4813
Recurrent Malignant Tumor	C4813
Malignant Bone Marrow Neoplasm	C35501
bone marrow cancer	C35501
Malignant Bone Marrow Tumor	C35501
Malignant Respiratory Tract Neoplasm	C4571
Malignant Respiratory System Neoplasm	C4571
Malignant neoplasm of unspecified part of unspecified bronchus or lung	C4571
Radiation-Induced Cancer	C27209
Radiation-Induced Malignant Neoplasm	C27209
Radiation-Related Malignant Neoplasm	C27209
Radiation-Related Cancer	C27209
head and neck cancer	C4013
Cancer of the Head and Neck	C4013
Head and Neck Cancer	C4013
Malignant Tumor of Head and Neck	C4013
Malignant Head and Neck Neoplasm	C4013
Cancer of Head and Neck	C4013
Malignant neoplasm of head, face and neck	C4013
Malignant Neoplasm of the Head and Neck	C4013
Malignant Head and Neck Tumor	C4013
Malignant Tumor of the Head and Neck	C4013
Head and neck cancer, NOS	C4013
Malignant Neoplasm of Head and Neck	C4013
Precursor Lymphoblastic Lymphoma/Leukemia	C7055
Precursor Lymphoblastic Leukemia/Lymphoma	C7055
Precursor Lymphoid Neoplasm	C7055
Malignant Neoplasm of Breast	C9335
Malignant Neoplasm of the Breast	C9335
Malignant Breast Tumor	C9335
Malignant Tumor of the Breast	C9335
Malignant Breast Neoplasm	C9335
Malignant Tumor of Breast	C9335
MELANOMA, MALIGNANT	C3224
Malignant Melanoma	C3224
Melanoma, NOS	C3224
melanoma	C3224
Melanoma	C3224
Malignant Mesothelial Neoplasm	C4456
Malignant Tumor of Mesothelium	C4456
Malignant Tumor of the Mesothelium	C4456
Mesothelioma, unspecified	C4456
Malignant Neoplasm of Mesothelium	C4456
malignant mesothelioma	C4456
Malignant Mesothelial Tumor	C4456
Malignant Mesothelioma	C4456
Mesothelioma, malignant	C4456
Malignant Neoplasm of the Mesothelium	C4456
MESOTHELIOMA, MALIGNANT	C4456
Bilateral Malignant Tumor	C7627
Bilateral Cancer	C7627
Bilateral Malignant Neoplasm	C7627
Malignant Lymphoma	C3208
Lymphoma, NOS	C3208
Lymphoma	C3208
LYMPHOMA, MALIGNANT	C3208
Lymphoma (Hodgkin and Non-Hodgkin)	C3208
Lymphomatous	C3208
lymphoma	C3208
Lymphoma (Hodgkin's and Non-Hodgkin's)	C3208
Splenic Cancer	C3539
Malignant Tumor of Spleen	C3539
Cancer of the Spleen	C3539
Spleen Cancer	C3539
Malignant Splenic Neoplasm	C3539
Malignant Tumor of the Spleen	C3539
Malignant Splenic Tumor	C3539
Malignant neoplasm of spleen	C3539
Malignant Neoplasm of the Spleen	C3539
Malignant Neoplasm of Spleen	C3539
Malignant neoplasm of abdomen	C156714
Malignant Abdominal Neoplasm	C156714
Malignant Giant Cell Neoplasm	C4090
Malignant Giant Cell Tumor	C4090
Malignant tumor, giant cell type	C4090
GIANT CELL TUMOR, MALIGNANT	C4090
Malignant Mastocytosis	C8991
Malignant mast cell tumor	C8991
Malignant mast cell neoplasm, unspecified	C8991
Malignant mastocytosis	C8991
MAST CELL TUMOR, MALIGNANT	C8991
Gastrointestinal Cancer	C4890
Malignant Digestive System Neoplasm	C4890
Gastrointestinal System Cancer	C4890
Malignant Gastrointestinal Neoplasm	C4890
Malignant Gastrointestinal System Neoplasm	C4890
Gastrointestinal cancer, NOS	C4890
Well Differentiated Malignant Neoplasm	C36052
Well-Differentiated Malignant Neoplasm	C36052
Malignant neoplasm pelvis	C156715
Pelvis Cancer	C156715
Malignant Pelvic Neoplasm	C156715
TUMOR, MIXED, MALIGNANT	C3729
Malignant Mixed Neoplasm	C3729
Malignant Mixed Tumor	C3729
Mixed tumor, malignant, NOS	C3729
Progesterone Receptor-Positive Malignant Neoplasm	C172183
Progesterone Receptor Expressing Malignant Neoplasm	C172183
Progesterone Receptor Positive Malignant Neoplasm	C172183
Poorly Differentiated Malignant Neoplasm	C36050
Aggravated Malignant Neoplasm	C3851
Malignant Neoplasm by Grade	C36041
Malignant Tumor of Skin	C2920
Malignant Neoplasm of Skin	C2920
skin cancer	C2920
Melanoma and Non-Melanoma Skin Cancer	C2920
Malignant Skin Tumor	C2920
Skin Neoplasm, Malignant	C2920
Skin Cancer	C2920
Malignant Skin Neoplasm	C2920
Skin cancer, NOS	C2920
Malignant Neoplasm of the Skin	C2920
Skin Cancer, Including Melanoma	C2920
Malignant Tumor of the Skin	C2920
Unspecified malignant neoplasm of skin, unspecified	C2920
Childhood Malignant Neoplasm	C4005
Childhood Cancer	C4005
Malignant Childhood Tumor	C4005
Malignant Neoplasm	C4005
Malignant Childhood Neoplasm	C4005
Malignant Pediatric Neoplasm	C4005
Pediatric Cancer	C4005
Malignant Pediatric Tumor	C4005
Occupational Cancer	C4993
Occupational Malignant Neoplasm	C4993
Malignant eye cancer, NOS	C4767
Eye Cancer	C4767
Malignant Tumor of the Eye	C4767
Malignant Eye Tumor	C4767
Malignant neoplasm of unspecified site of unspecified eye	C4767
Malignant Neoplasm of Eye	C4767
Malignant Eye Neoplasm	C4767
Malignant Ocular Tumor	C4767
Malignant Neoplasm of the Eye	C4767
Malignant Ocular Neoplasm	C4767
Cancer of the Eye	C4767
Malignant Tumor of Eye	C4767
eye cancer	C4767
Cancer of Eye	C4767
Eye Neoplasm, Malignant	C4767
Malignant Endocrine Tumor	C3575
Malignant Tumor of Endocrine Gland	C3575
endocrine cancer	C3575
Malignant Endocrine Gland Neoplasm	C3575
Malignant Tumor of the Endocrine Gland	C3575
Malignant Endocrine Neoplasm	C3575
Endocrine Neoplasm, Malignant	C3575
Endocrine cancer, NOS	C3575
Malignant neoplasm of endocrine gland, unspecified	C3575
Malignant Neoplasm of Endocrine Gland	C3575
Malignant Neoplasm of the Endocrine Gland	C3575
Malignant Endocrine Gland Tumor	C3575
Localized Malignant Neoplasm	C8576
Localized Malignancy	C8576
Localized Cancer	C8576
Local Cancer	C8576
local cancer	C8576
Extramedullary Myeloid Tumor	C3520
Myeloid Sarcoma	C3520
Myeloid sarcoma	C3520
SARCOMA, MYELOID, MALIGNANT	C3520
chloroma	C3520
MYELOID_SARCOMA	C3520
Chloroma	C3520
Extramedullary Myeloid Sarcoma	C3520
Non-Hematologic Cancer	C9226
nonhematologic cancer	C9226
Non-Hematologic Malignancy	C9226
familial cancer	C9479
Familial Cancer	C9479
Hereditary Cancer	C9479
Hereditary Malignant Neoplasm	C9479
Familial Malignant Neoplasm	C9479
Fibroblastic Dendritic Cell Tumor	C81758
Fibroblastic reticular cell tumor	C81758
Fibroblastic Reticular Cell Sarcoma	C81758
Fibroblastic Reticular Cell Tumor	C81758
Obesity-Related Malignant Neoplasm	C167168
Malignant Cardiovascular Neoplasm	C114940
Unresectable Malignant Neoplasm	C27359
Unresectable Malignant Tumor	C27359
Lymph Node Cancer	C35812
Malignant Lymph Node Neoplasm	C35812
secondary cancer	C4968
SMN	C4968
Secondary Malignancy	C4968
Secondary malignant neoplasm of unspecified site	C4968
Secondary Malignant Neoplasm	C4968
Secondary Cancer	C4968
Undifferentiated Malignant Neoplasm	C36051
Malignant Neoplasm of the Soft Tissue	C4867
Malignant Tumor of Soft Tissue	C4867
Malignant Soft Tissue Tumor	C4867
Soft tissue tumor, malignant	C4867
Malignant Soft Tissue Neoplasm	C4867
Malignant Neoplasm of Soft Tissue	C4867
Malignant Tumor of the Soft Tissue	C4867
Solid Pseudopapillary Tumor	C201136
Solid Pseudopapillary Neoplasm	C201136
Solid pseudopapillary tumor	C201136
Frantz Tumor	C201136
Malignant Neoplasm of Multiple Primary Sites	C35427
Malignant Musculoskeletal Neoplasm	C166357
Leukemia, NOS	C3161
LEUKEMIA, MALIGNANT	C3161
Blood (Leukemia)	C3161
Leukemia	C3161
leukemia	C3161
Leukemia, Disease	C3161
Leukemias, General	C3161
Leukemia NOS	C3161
Leukemias	C3161
Malignant Neoplasm of the Nervous System	C4788
Malignant Neoplasm of Nervous System	C4788
Malignant Nervous System Tumor	C4788
Malignant Tumor of Nervous System	C4788
Malignant Tumor of the Nervous System	C4788
Malignant Nervous System Neoplasm	C4788
Nervous System Neoplasms, Malignant	C4788
Malignant Solid Neoplasm	C132146
Malignant Solid Tumor	C132146
