Disease	Code
Acute Adult T-Cell Leukemia/Lymphoma	C36265
Acute Adult T-Cell Lymphoma/Leukemia	C36265
Acute Adult T-Cell Lymphoma/Leukemia	C36265
Acute B Cell Lymphocytic Leukemia	C8644
Acute B Cell Lymphocytic Leukemia	C8644
Acute B-Cell Lymphocytic Leukemia	C8644
Acute B-Cell Lymphocytic Leukemia	C8644
Acute basophilic leukaemia	C3164
Acute basophilic leukemia	C3164
Acute Basophilic Leukemia	C3164
Acute Basophilic Leukemia	C7964
Acute Basophilic Leukemia	C7964
Acute Basophilic Leukemia	C7971
Acute Basophilic Leukemia	C7971
Acute bilineal leukemia	C6923
Acute Bilineal Leukemia	C6923
Acute Biphenotypic Leukemia	C126111
Acute Biphenotypic Leukemia	C126111
Acute biphenotypic leukemia	C4673
Acute Biphenotypic Leukemia	C4673
Acute Biphenotypic Leukemia in Relapse	C141445
Acute Biphenotypic Leukemia in Relapse	C141445
Acute Disseminated Langerhans Cell Histiocytosis	C3160
Acute Eosinophilic Leukemia	C26813
Acute Eosinophilic Leukemia	C7963
Acute Eosinophilic Leukemia	C9165
Acute erythremic myelosis	C7467
Acute Erythremic Myelosis	C7467
Acute Erythroblastic Leukemia	C8923
Acute erythroid leukaemia	C8923
Acute Erythroid Leukemia	C8923
Acute Erythroid Leukemia	C9153
Acute Erythroid Leukemia	C9164
Acute erythroid leukemia, in relapse	C156723
Acute granulocytic leukemia	C3171
Acute granulocytic leukemia	C3171
Acute Granulocytic Leukemia	C3171
Acute Granulocytic Leukemia	C3171
acute leukemia	C9300
Acute Leukemia	C9300
Acute Leukemia of Ambiguous Lineage	C7464
Acute Leukemia of Ambiguous Lineage (ALAL)	C7464
Acute Leukemia of Ambiguous Lineage with BCL11B Rearrangement	C203437
Acute Leukemia of Ambiguous Lineage with Defining Genetic Abnormalities	C200494
Acute Leukemia of Ambiguous Lineage, NOS	C151975
Acute Leukemia of Ambiguous Lineage, Not Otherwise Specified	C151975
Acute Leukemia of Indeterminate Lineage	C7464
Acute leukemia of unspecified cell type, in relapse	C148429
Acute leukemia of unspecified cell type, in relapse	C148429
Acute Leukemia, ambiguous lineage (mixed or biphenotypic)	C7464
Acute leukemia, NOS	C9298
Acute lymphatic leukemia	C3167
acute lymphoblastic leukemia	C3167
Acute lymphoblastic leukemia	C3167
Acute Lymphoblastic Leukemia	C3167
Acute lymphoblastic leukemia (ALL)	C3167
Acute Lymphoblastic Leukemia (ALL)	C3167
Acute Lymphoblastic Leukemia (ALL)	C3168
Acute Lymphoblastic Leukemia (ALL)	C4967
Acute Lymphoblastic Leukemia Associated with Down Syndrome	C190847
Acute Lymphoblastic Leukemia by Gene Expression Profile	C121973
Acute Lymphoblastic Leukemia by Gene Expression Signature	C121973
Acute Lymphoblastic Leukemia by ROSE Cluster	C121978
Acute lymphoblastic leukemia CNS1	C198036
Acute lymphoblastic leukemia CNS2	C198039
Acute lymphoblastic leukemia CNS3	C198040
Acute Lymphoblastic Leukemia Gene Expression Cluster	C121978
Acute Lymphoblastic Leukemia Gene Expression Subtype	C121973
Acute Lymphoblastic Leukemia ROSE Cluster	C121978
Acute Lymphoblastic Leukemia with t(4;11)(q21;23)	C162776
Acute lymphoblastic leukemia, in relapse	C142810
Acute lymphoblastic leukemia, L2 type, NOS	C27281
Acute lymphoblastic leukemia, NOS	C3167
Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative	C128629
Acute Lymphoblastic Leukemia, Philadelphia Chromosome Positive	C36312
Acute Lymphoblastic Leukemia, Philadelphia Chromosome Positive	C36312
Acute lymphoblastic leukemia, precursor cell type	C3167
Acute Lymphocytic Leukaemia	C3167
acute lymphocytic leukemia	C3167
Acute lymphocytic leukemia	C3167
Acute Lymphocytic Leukemia	C3167
Acute Lymphocytic Leukemias	C3167
Acute Lymphogenous Leukemia	C3167
Acute lymphoid leukemia	C3167
Acute Lymphoid Leukemia	C3167
Acute M1 Myeloid Leukemia	C3249
Acute M2 Myeloid Leukemia	C3250
Acute M4 Myeloid Leukemia	C7463
Acute M7 Myeloid Leukemia	C3170
Acute megakaryoblastic leukaemia	C3170
Acute Megakaryoblastic Leukemia	C3170
Acute Megakaryoblastic Leukemia	C7965
Acute Megakaryoblastic Leukemia	C7972
Acute Megakaryoblastic Leukemia (Fab Type M7)	C3170
Acute Megakaryoblastic Leukemia (FAB Type M7)	C3170
Acute Megakaryoblastic Leukemia with CBFA2T3-GLIS2	C132109
Acute Megakaryoblastic Leukemia with CBFA2T3::GLIS2	C132109
Acute Megakaryoblastic Leukemia with NUP98-KDM5A	C132111
Acute megakaryoblastic leukemia, in relapse	C156731
Acute Megakaryocytic Leukemia	C3170
Acute monoblastic and monocytic leukemia	C7318
Acute Monoblastic and Monocytic Leukemia	C7318
Acute Monoblastic and Monocytic Leukemia	C7319
Acute Monoblastic and Monocytic Leukemia	C7319
Acute Monoblastic and Monocytic Leukemia	C7940
Acute Monoblastic and Monocytic Leukemia	C7940
Acute monoblastic leukemia	C7171
Acute Monoblastic Leukemia	C7171
Acute Monoblastic Leukemia	C9156
Acute Monoblastic Leukemia	C9156
Acute Monoblastic Leukemia	C9162
Acute Monoblastic Leukemia	C9162
Acute Monoblastic Leukemia (FAB M5a)	C7171
Acute Monoblastic Leukemia and Acute Monocytic Leukemia	C7318
Acute Monoblastic/Monocytic Leukemia	C7318
Acute monoblastic/monocytic leukemia, in relapse	C156722
Acute monoblastic/monocytic leukemia, in relapse	C156722
Acute monocytic leukemia	C4861
Acute Monocytic Leukemia	C4861
Acute Monocytic Leukemia	C8263
Acute Monocytic Leukemia	C8263
Acute Monocytic Leukemia	C9163
Acute Monocytic Leukemia	C9163
Acute Monocytic Leukemia (Fab M5B)	C4861
Acute Monocytic Leukemia (FAB M5b)	C4861
acute myeloblastic leukemia	C3171
acute myeloblastic leukemia	C3171
Acute myeloblastic leukemia	C3171
Acute myeloblastic leukemia	C3171
Acute Myeloblastic Leukemia	C3171
Acute Myeloblastic Leukemia	C3171
Acute Myeloblastic Leukemia with Maturation	C3250
Acute Myeloblastic Leukemia with Minimal Differentiation	C8460
Acute Myeloblastic Leukemia without Maturation	C3249
Acute myeloblastic leukemia, in relapse	C148427
Acute myeloblastic leukemia, in relapse	C148427
Acute myeloblastic leukemia, in relapse	C148427
Acute Myeloblastic Leukemia, Minimally Differentiated	C8460
Acute myelocytic leukemia	C3171
Acute myelocytic leukemia	C3171
Acute Myelocytic Leukemia	C3171
Acute Myelocytic Leukemia	C3171
Acute Myelocytic Leukemia with Maturation	C3250
Acute myelofibrosis	C4344
Acute Myelofibrosis	C4344
acute myelogenous leukemia	C3171
acute myelogenous leukemia	C3171
Acute myelogenous leukemia	C3171
Acute myelogenous leukemia	C3171
Acute Myelogenous Leukemia	C3171
Acute Myelogenous Leukemia	C3171
Acute Myelogenous Leukemia with Maturation	C3250
Acute Myelogenous Leukemia with Minimal Differentiation	C8460
Acute Myelogenous Leukemia without Maturation	C3249
Acute Myelogenous Leukemias	C3171
Acute Myelogenous Leukemias	C3171
Acute Myeloid Leukaemias and Myelodysplastic Syndromes, Therapy-Related	C27912
Acute Myeloid Leukaemias and Myelodysplastic Syndromes, Therapy-Related	C27912
Acute Myeloid Leukaemias and Myelodysplastic Syndromes, Therapy-Related	C27912
Acute Myeloid Leukaemias and Myelodysplastic Syndromes, Therapy-Related	C27912
Acute myeloid leukemia	C27753
acute myeloid leukemia	C3171
acute myeloid leukemia	C3171
Acute Myeloid Leukemia	C3171
Acute Myeloid Leukemia	C3171
Acute Myeloid Leukemia (AML-M2)	C3250
Acute myeloid leukemia (AML)	C3171
Acute myeloid leukemia (AML)	C3171
Acute Myeloid Leukemia (AML)	C3171
Acute Myeloid Leukemia (AML)	C3171
Acute Myeloid Leukemia (AML)	C9154
Acute Myeloid Leukemia (AML)	C9160
Acute Myeloid Leukemia (AML)	C9160
Acute Myeloid Leukemia (AML) Arising from Previous Myelodysplastic Syndrome	C4037
Acute Myeloid Leukemia (AML) with Abnormalities of Chromosome 5q	C122725
Acute Myeloid Leukemia (AML) with Abnormalities of Chromosome 7	C122726
Acute Myeloid Leukemia (AML) with FLT3/ITD	C126748
Acute Myeloid Leukemia (AML) with inv(16)(p13.1q22); CBFB-MYH11	C68697
Acute Myeloid Leukemia (AML) with Maturation	C7961
Acute Myeloid Leukemia (AML) with Maturation	C7961
Acute Myeloid Leukemia (AML) with Maturation	C9381
Acute Myeloid Leukemia (AML) with Maturation	C9381
Acute Myeloid Leukemia (AML) with Minimal Differentiation	C8303
Acute Myeloid Leukemia (AML) with Minimal Differentiation	C8303
Acute Myeloid Leukemia (AML) with Minimal Differentiation	C8304
Acute Myeloid Leukemia (AML) with Minimal Differentiation	C8304
Acute Myeloid Leukemia (AML) with Recurrent Genetic Abnormalities	C68700
Acute Myeloid Leukemia (AML) with Recurrent Genetic Abnormalities	C68700
Acute Myeloid Leukemia (AML) with t(10;11)(p12.3;q23.3); KMT2A::MLLT10	C132101
Acute Myeloid Leukemia (AML) with t(10;11)(p12.3;q23.3); MLL-MLLT10	C132101
Acute Myeloid Leukemia (AML) with t(16;16)(p13.1;q22); CBFB-MYH11	C68698
Acute Myeloid Leukemia (AML) with t(6;11)(q27;q23.3); KMT2A-MLLT4	C132105
Acute Myeloid Leukemia (AML) with t(8;21); (q22; q22.1); RUNX1-RUNX1T1	C68699
Acute Myeloid Leukemia (AML) with t(8;21); (q22; q22.1); RUNX1-RUNX1T1	C68699
Acute Myeloid Leukemia (AML) with t(9;11)(p21.3;q23.3); MLLT3-KMT2A	C68696
Acute Myeloid Leukemia (AML) without Maturation	C9158
Acute Myeloid Leukemia (AML) without Maturation	C9158
Acute Myeloid Leukemia (AML) without Maturation	C9380
Acute Myeloid Leukemia (AML) without Maturation	C9380
Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	C82427
Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	C82427
Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15- MRTFA	C82427
Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1	C82427
Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1 Fusion	C82427
Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15::MLK1 Fusion	C82427
Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15::MRTFA	C82427
Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome	C4037
Acute Myeloid Leukemia Arising from Previous Myelodysplastic/Myeloproliferative Neoplasm	C172130
Acute Myeloid Leukemia Arising from Previous Myeloproliferative Neoplasm	C172129
Acute Myeloid Leukemia Defined by Differentiation	C27753
Acute Myeloid Leukemia M5	C7318
Acute Myeloid Leukemia M6b	C7467
Acute Myeloid Leukemia NOS	C27753
Acute Myeloid Leukemia Not Otherwise Categorized	C27753
Acute Myeloid Leukemia Not Otherwise Specified	C27753
Acute Myeloid Leukemia Occurring in Children with Down syndrome	C43223
Acute Myeloid Leukemia Occurring in Children with Down syndrome	C43223
Acute Myeloid Leukemia Post Cytotoxic Therapy	C8252
Acute Myeloid Leukemia Post Cytotoxic Therapy	C8252
Acute Myeloid Leukemia Post Cytotoxic Therapy	C8252
Acute Myeloid Leukemia with 11q23 Abnormalities	C174129
Acute myeloid leukemia with 11q23 abnormality in relapse	C193407
Acute myeloid leukemia with 11q23 abnormality in relapse	C193407
Acute Myeloid Leukemia with a Variant KMT2A Rearrangement	C6924
Acute Myeloid Leukemia with a Variant MECOM Rearrangement	C198846
Acute Myeloid Leukemia with a Variant MLL Rearrangement	C6924
Acute Myeloid Leukemia with a Variant MLL Translocation	C6924
Acute Myeloid Leukemia with a Variant RARA Rearrangement	C36055
Acute Myeloid Leukemia with a Variant RARA Translocation	C36055
Acute Myeloid Leukemia with Abnormal Marrow Eosinophils	C9287
Acute Myeloid Leukemia with ASXL1 Gene Mutation	C198883
Acute Myeloid Leukemia with ASXL1 Mutation	C198883
Acute Myeloid Leukemia with Balanced Translocations/Inversions	C7175
Acute Myeloid Leukemia with BCOR Gene Mutation	C198884
Acute Myeloid Leukemia with BCOR Mutation	C198884
Acute Myeloid Leukemia with BCOR-RARA	C198841
Acute Myeloid Leukemia with BCOR-RARA Expression	C198841
Acute Myeloid Leukemia with BCOR-RARA Fusion	C198841
Acute Myeloid Leukemia with BCOR::RARA	C198841
Acute Myeloid Leukemia with BCOR::RARA Expression	C198841
Acute Myeloid Leukemia with BCOR::RARA Fusion	C198841
Acute Myeloid Leukemia with BCR-ABL1	C129785
Acute Myeloid Leukemia with BCR-ABL1 Fusion	C129785
Acute Myeloid Leukemia with BCR::ABL1	C129785
Acute Myeloid Leukemia with BCR::ABL1 Fusion	C129785
Acute Myeloid Leukemia with Biallelic CEBPA Mutation	C129782
Acute Myeloid Leukemia with Biallelic Mutations of CEBPA	C129782
Acute Myeloid Leukemia with CEBPA Mutation	C82433
Acute Myeloid Leukemia with Complex Karyotype	C198965
Acute Myeloid Leukemia with Cytoplasmic Nucleophosmin	C82431
Acute Myeloid Leukemia with Defining Genetic Abnormalities	C7175
Acute Myeloid Leukemia with del(12p)	C198961
Acute Myeloid Leukemia with del(17p)	C198963
Acute Myeloid Leukemia with del(20q)	C198964
Acute Myeloid Leukemia with del(5q)	C198959
Acute Myeloid Leukemia with del(7q)	C198960
