code,pref_name
C6586,Extrarenal Rhabdoid Tumor
C6637,Mediastinal Soft Tissue Neoplasm
C6781,Stromal Neoplasm
C6783,Transitional Cell Neoplasm
C6930,Mixed Neoplasm
C8591,Testicular Germ Cell Tumor
C9305,Malignant Neoplasm
C9292,Solid Neoplasm
C9294,Histiocytic and Dendritic Cell Neoplasm
C7928,Childhood Germ Cell Tumor
C7812,Solitary Plasmacytoma of Bone
C3624,Benign Retinal Neoplasm
C36263,Metastatic Malignant Neoplasm
C36031,Papillary Neoplasm
C36032,Premalignant Neoplasm
C36035,Encapsulated Neoplasm
C36052,Well Differentiated Malignant Neoplasm
C3677,Benign Neoplasm
C3786,Mesothelial Neoplasm
C3787,Neuroepithelial Neoplasm
C3762,Adenomatoid Tumor
C3028,Esophageal Neoplasm
C3030,Eye Neoplasm
C3077,Head and Neck Neoplasm
C2971,Cystadenocarcinoma
C2949,Choroid Neoplasm
C2916,Carcinoma
C27933,Neoplasm by Cause
C2854,Warthin Tumor
C3043,Fibrosarcoma
C2964,Craniopharyngioma
C4013,Malignant Head and Neck Neoplasm
C40130,Fallopian Tube Germ Cell Tumor
C5449,"Central Nervous System Mesenchymal, Non-Meningothelial Neoplasm"
C54297,Metastasizing Ameloblastoma
C7075,Fibroblastic Neoplasm
C7068,Neoplastic Polyp
C7069,Giant Cell Neoplasm
C7055,Precursor Lymphoid Neoplasm
C7201,Rare Neoplasm
C7113,Endometrioid Tumor
C4992,Environment-Related Malignant Neoplasm
C4993,Occupational Malignant Neoplasm
C4925,Malignant Germ Cell Tumor
C5751,Liver Mesenchymal Hamartoma
C62277,Connective and Soft Tissue Neoplasm (Antiquated)
C62279,Germ Cell Tumor (Antiquated)
C6490,Benign Fibrohistiocytic Neoplasm
C6411,Intrathoracic Paravertebral Paraganglioma
C6449,Benign Germ Cell Tumor
C6450,Thymic Epithelial Neoplasm
C7627,Bilateral Malignant Neoplasm
C7570,Melanocytic Nevus
C9417,Low Grade Sarcoma
C121500,Malignant Fibrohistiocytic Neoplasm
C121619,Nongerminomatous Germ Cell Tumor
C121955,Clear Cell Papillary Renal Tumor
C142823,Congenital Peribronchial Myofibroblastic Tumor
C156034,Encapsulated Variant Thyroid Gland Papillary Carcinoma
C156715,Malignant Pelvic Neoplasm
C157130,Recurrent Neuroendocrine Neoplasm
C161637,Seminal Vesicle Soft Tissue Neoplasm
C162574,Penile Soft Tissue Neoplasm
C102883,Miscellaneous Neoplasm
C116915,Liquid Tumor
C175223,Eye Melanocytoma
C193456,Refractory Solitary Fibrous Tumor
C178255,Atypical Neurofibromatous Neoplasm of Uncertain Biologic Potential
C175316,Lacrimal Drainage System Neoplasm
C188950,Childhood Nervous System Neoplasm
C188021,B-Cell Malignant Neoplasm
C188963,Childhood Connective and Soft Tissue Neoplasm
C188972,Childhood Inflammatory Myofibroblastic Tumor
C188975,Childhood Plexiform Fibrohistiocytic Tumor
C189000,Childhood PEComa
C180879,Cervical Germ Cell Tumor
C27927,Alcohol-Related Carcinoma
C27939,Breast Lobular Neoplasia
C27225,Environment-Related Neoplasm
C3708,Germ Cell Tumor
C3709,Epithelial Neoplasm
C37263,Kidney Mixed Epithelial and Stromal Tumor
C3784,Basal Cell Neoplasm
C3646,Neoplasm of Uncertain Malignant Potential
C3636,Benign Lymph Node Neoplasm
C3808,Rhabdoid Tumor
C3812,Carcinoma of Unknown Primary
C201136,Solid Pseudopapillary Neoplasm
C202989,Refractory Lymphomatoid Granulomatosis
C3262,Neoplasm
C3055,Giant Cell Tumor
C3216,Malignant Retinal Neoplasm
C3194,Liposarcoma
C2945,Chondroblastoma
C3221,Mediastinal Neoplasm
C3224,Melanoma
C189869,Childhood Digestive System Neoplasm
C36025,Anaplastic Malignant Neoplasm
C36029,Necrotic Neoplasm
C36030,Osteolytic Neoplasm
C36033,Tubular Neoplasm
C36041,Malignant Neoplasm by Grade
C36050,Poorly Differentiated Malignant Neoplasm
C3576,Malignant Thoracic Neoplasm
C3355,Respiratory System Neoplasm
C3375,Skull Neoplasm
C3377,Soft Tissue Neoplasm
C35370,Bone Marrow Neoplasm
C35427,Malignant Neoplasm of Multiple Primary Sites
C40024,Borderline Peritoneal Serous Tumor
C39905,Prostate Stromal Tumor of Uncertain Malignant Potential
C39956,Rete Testis Adenoma
C40141,Wolffian Tumor
C40179,Uterine Corpus Soft Tissue Neoplasm
C40274,Vaginal Mixed Epithelial and Mesenchymal Neoplasm
C39756,Unicystic Ameloblastoma
C39783,Retinal Hemangioblastoma
C4199,Epithelial-Myoepithelial Carcinoma
C4274,Benign Phyllodes Tumor
C4242,Benign Soft Tissue Neoplasm
C54317,Odontoameloblastoma
C6093,Corneal Squamous Intraepithelial Neoplasia
C6079,Eye Carcinoma
C5348,Great Vessel Neoplasm
C5354,Skin Vascular Neoplasm
C5169,Breast Neuroendocrine Neoplasm
C4536,Metastatic Pituitary Neuroendocrine Tumor
C45240,Cutaneous Hematopoietic and Lymphoid Cell Neoplasm
C4089,Polyposis
C4090,Malignant Giant Cell Neoplasm
C4092,Benign Epithelial Neoplasm
C4474,Chondroid Syringoma
C4475,Dermal Neoplasm
C5716,Borderline Exocrine Pancreatic Neoplasm
C4817,Ewing Sarcoma
C4968,Secondary Malignant Neoplasm
C66850,Invasive Encapsulated Follicular Variant Thyroid Gland Papillary Carcinoma
C6570,Extraskeletal Cartilaginous and Osseous Neoplasm
C6603,Osteogenic Neoplasm
C7065,Lymphocytic Neoplasm
C7059,Mesenchymal Cell Neoplasm
C7132,Glandular Cell Neoplasm
C7334,Intermediate Vascular Neoplasm
C7336,Sinonasal Neoplasm
C7340,Hematopoietic and Lymphoid Neoplasm (Antiquated)
C7503,Borderline Phyllodes Tumor
C7628,Refractory Neoplasm
C7635,Well Differentiated Papillary Mesothelial Tumor
C4741,Neoplasm by Morphology
C4565,Benign Thoracic Neoplasm
C46080,Nonestrogen-Dependent Malignant Neoplasm
C4780,Benign Eye Neoplasm
C4784,Cardiovascular Neoplasm
C4798,Recurrent Neoplasm
C4804,Breast Hyperplasia
C4890,Malignant Digestive System Neoplasm
C4902,Benign Splenic Neoplasm
C4767,Malignant Eye Neoplasm
C62241,Epithelial Neoplasm (Antiquated)
C6432,Multiple Endocrine Neoplasia
C6390,Gestational Trophoblastic Tumor by FIGO Stage
C6478,Vascular Bone Neoplasm
C8366,Intraepithelial Neoplasia
C7934,Recurrent Lymphomatoid Granulomatosis
C9290,Myeloid Neoplasm
C9306,Soft Tissue Sarcoma
C9281,Follicular Dendritic Cell Sarcoma
C9282,Interdigitating Dendritic Cell Sarcoma
C9351,Pleural Mesothelial Neoplasm
C92186,Intraocular Malignant Peripheral Nerve Sheath Tumor
C8054,Thyroid Gland Follicular Carcinoma
C8602,Pleomorphic Adenoma
C8962,Digestive System Intraepithelial Neoplasia
C94759,Functioning Endocrine Neoplasm
C9479,Hereditary Malignant Neoplasm
C99180,Lipofibromatosis
C120186,Refractory Malignant Neoplasm
C121686,Hybrid Nerve Sheath Tumor
C121618,Germinomatous Germ Cell Tumor
C115445,Recurrent Childhood Kidney Neoplasm
C127156,Unresectable Solid Neoplasm
C133091,Lung Adenofibroma
C27897,T-Cell Proliferation of Uncertain Malignant Potential
C27223,Infection-Related Malignant Neoplasm
C27236,Tobacco-Related Carcinoma
C27358,Recurrent Hematologic Malignancy
C27263,Spindle Cell Neoplasm
C2877,Anal Neoplasm
C2896,Benign Skin Neoplasm
C2910,Breast Neoplasm
C2963,Cranial Nerve Neoplasm
C2972,Cystadenoma
C202954,Head and Neck Hematopoietic and Lymphoid Cell Neoplasm
C202977,Head and Neck Germ Cell Tumor
C202851,Smooth Muscle Tumor of Uncertain Malignant Potential
C3000,Ear Neoplasm
C3031,Eyelid Neoplasm
C3142,Iris Neoplasm
C3267,Wilms Tumor
C3321,Peripheral Nervous System Neoplasm
C3161,Leukemia
C3200,Lung Neoplasm
C164198,Head and Neck Sarcoma
C164255,Mixed Neuroendocrine Non-Neuroendocrine Neoplasm
C166354,Musculoskeletal Neoplasm
C167168,Obesity-Related Malignant Neoplasm
C168672,Thoracic Spine Neoplasm
C168693,Spinal Neoplasm
C161636,Seminal Vesicle Mixed Epithelial and Stromal Tumor
C162492,Paratesticular Soft Tissue Neoplasm
C148331,Unresectable Sarcoma
C150605,Resectable Sarcoma
C175670,Refractory Desmoid Fibromatosis
C188977,Childhood Kaposiform Hemangioendothelioma
C188979,Childhood Pseudomyogenic Hemangioendothelioma
C188981,Childhood Sarcoma
C188999,Childhood Angiomatoid Fibrous Histiocytoma
C188180,Recurrent Neoplastic Post-Transplant Lymphoproliferative Disorder
C190119,Childhood Head and Neck Neoplasm
C189338,Childhood Breast Neoplasm
C192105,Cystic Trophoblastic Tumor
C187284,Thyroid Gland Tumor of Uncertain Malignant Potential
C155873,Chest Wall Sarcoma
C157131,Refractory Neuroendocrine Neoplasm
C158636,Bladder Soft Tissue Neoplasm
C3801,Hemangioblastoma
C4005,Childhood Malignant Neoplasm
C40335,Vulvar Melanocytic Neoplasm
C40115,Fallopian Tube Endometrioid Polyp
C40136,Uterine Ligament Serous Adenocarcinoma
C4063,Myomatous Neoplasm
C40392,Myoepithelial Tumor
C40406,Breast Soft Tissue Neoplasm
C43312,Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm
C4290,Mixed Germ Cell Tumor
C4524,Multilocular Cystic Renal Neoplasm of Low Malignant Potential
C4434,Appendix Neoplasm
C4456,Malignant Mesothelioma
C4443,Ampulla of Vater Neoplasm
C4502,Benign Lipomatous Neoplasm
C4787,Benign Digestive System Neoplasm
C34584,Endocervical Polyp
C3436,Uveal Neoplasm
C3431,Urinary System Neoplasm
C3382,Intraspinal Neoplasm
C3623,Benign Corneal Neoplasm
C36264,Metastatic Benign Neoplasm
C35690,Eye Lymphoma
C35497,Lymph Node Neoplasm
C35501,Malignant Bone Marrow Neoplasm
C3674,Reproductive System Neoplasm
C3743,Fibroepithelial Neoplasm
C3729,Malignant Mixed Neoplasm
C4972,Nerve Sheath Neoplasm
C5503,Central Nervous System Hematopoietic and Lymphoid Cell Neoplasm
C54180,Breast Columnar Cell Lesion
C6105,Malignant Uveal Neoplasm
C7653,Intermediate Soft Tissue Neoplasm
C6529,Benign Pericytic Neoplasm
C6602,Benign Osteogenic Neoplasm
C7058,Melanocytic Neoplasm
C7182,B-Cell Proliferation of Uncertain Malignant Potential
C7390,Malignant Vascular Neoplasm
C7335,Reproductive Endocrine Neoplasm
C66751,Granulosa Cell-Theca Cell Tumor
C6784,Cystic Neoplasm
C6786,Malignant Eyelid Neoplasm
C8323,Amyloid Tumor
C81758,Fibroblastic Reticular Cell Sarcoma
C8614,Hepatobiliary Neoplasm
C8539,Benign Great Vessel Neoplasm
C8597,Retro-Orbital Neoplasm
C8429,Papillary Epithelial Neoplasm
C8991,Malignant Mastocytosis
C9176,Non-Metastatic Gestational Trophoblastic Tumor
C9293,Central Nervous System Neoplasm
C92182,Intraocular Schwannoma
C92187,Pericardial Adenomatoid Tumor
C94760,Non-Functioning Endocrine Neoplasm
C9431,Childhood Hematopoietic and Lymphoid Cell Neoplasm
C114777,Adult Germ Cell Tumor
C128637,Recurrent Respiratory Papillomatosis
C128460,Recurrent Gastrointestinal Stromal Tumor
C134168,Refractory Histiocytic and Dendritic Cell Neoplasm
C139548,Vulvar Composite Hidradenoma Papilliferum and Fibroadenoma
C156482,Genitourinary System Neoplasm
C156711,Malignant Peritoneal and Retroperitoneal Neoplasm
C151940,Extracranial Solid Neoplasm
C152076,Metastatic Sarcoma
C158616,Borderline Ovarian Mixed Epithelial Tumor/Atypical Proliferative Ovarian Mixed Epithelial Tumor
C158622,Borderline Serous Cystadenofibroma
C202623,Head and Neck Soft Tissue Neoplasm
C27134,Hematopoietic and Lymphoid Cell Neoplasm
C27349,Histiocytic Sarcoma
C27357,Refractory Hematologic Malignancy
C27091,Malignant Spindle Cell Neoplasm
C27248,Cranial Nodular Fasciitis
C4969,Therapy-Related Malignant Neoplasm
C5206,Breast Papillary Neoplasm
C5209,Breast Vascular Neoplasm
C5102,Lacrimal System Neoplasm
C40316,Vulvar Soft Tissue Neoplasm
C40226,Cervical Mixed Epithelial and Mesenchymal Neoplasm
C40106,Borderline Fallopian Tube Neoplasm
C4157,Mixed Cell Adenoma
C3903,Mixed Glioma
C166356,Benign Musculoskeletal Neoplasm
C166357,Malignant Musculoskeletal Neoplasm
C189015,Childhood Bone Neoplasm
C190056,Childhood Endocrine Neoplasm
C168694,Lumbosacral Spine Neoplasm
C4360,Lacrimal Gland Neoplasm
C4361,Corneal Neoplasm
C4381,Ovarian Epithelial Tumor
C4179,Papillary Cystic Neoplasm
C3738,Osteoclastic Giant Cell-Rich Tumor of Bone
C3728,Hepatoblastoma
C3716,Primitive Neuroectodermal Tumor
C3851,Aggravated Malignant Neoplasm
C3873,Ovarian Germ Cell Tumor
C3810,Connective and Soft Tissue Neoplasm
C3792,Squamous Cell Neoplasm
C3723,Lymphatic Vessel Neoplasm
C4755,Chondrogenic Neoplasm
C4621,Benign Endocrine Neoplasm
C4788,Malignant Nervous System Neoplasm
C4789,Benign Nervous System Neoplasm
C4800,Retinal Neoplasm
C45230,Neoplasm by Obsolete Classification
C27770,Immunodeficiency-Related Malignant Neoplasm
C2855,Adenoma
C3052,Digestive System Neoplasm
C3158,Leiomyosarcoma
C3081,Heart Neoplasm
C3290,Orbit Neoplasm
C3264,Embryonal Neoplasm
C3265,Radiation-Related Neoplasm
C3359,Rhabdomyosarcoma
C3383,Splenic Neoplasm
C3387,Gastric Neoplasm
C3332,Pleural Neoplasm
C3322,Peritoneal Neoplasm
C176009,Encapsulated Breast Papillary Carcinoma
C176043,Ocular Surface Squamous Neoplasia
C182235,Second Primary Tumor
C192144,Paratesticular Mesothelial Neoplasm
C36034,Villous Neoplasm
C36036,Non-Encapsulated Neoplasm
C36049,Moderately Differentiated Malignant Neoplasm
C36051,Undifferentiated Malignant Neoplasm
C35749,Axillary Neoplasm
C3575,Malignant Endocrine Neoplasm
C35812,Malignant Lymph Node Neoplasm
C3487,Therapy-Related Neoplasm
C3565,Malignant Corneal Neoplasm
C3419,Tracheal Neoplasm
C3539,Malignant Splenic Neoplasm
C67237,Phosphaturic Mesenchymal Tumor
C6971,Meningothelial Cell Neoplasm
C6921,Langerhans Cell Sarcoma
C65157,"Neoplasm, Uncertain Whether Benign or Malignant"
C6566,Childhood Multilocular Cystic Renal Neoplasm
C6569,Congenital Mesoblastic Nephroma
C7061,Retinal Cell Neoplasm
C7063,Notochordal Tumor
C71701,Refractory Primary Central Nervous System Neoplasm
C7148,Soft Tissue Tumor of Uncertain Differentiation
C7504,Adult Cystic Nephroma
C7387,Blood Vessel Neoplasm
C7388,Vascular Neoplasm
C8587,Precancerous Polyp
C8576,Localized Malignant Neoplasm
C8531,Benign Respiratory System Neoplasm
C8509,Primary Neoplasm
C84509,Primary Malignant Neoplasm
C84270,Myeloid/Lymphoid Neoplasms with Eosinophilia and Tyrosine Kinase Gene Fusions
C8505,Invasive Malignant Neoplasm
C8402,Fibrohistiocytic Neoplasm
C6283,Childhood Neoplasm
C7644,Adamantinoma
C7633,Peritoneal Mesothelial Neoplasm
C8264,Childhood Meningioma
C9498,Melanocytoma
C9335,Malignant Breast Neoplasm
C9295,Mast Cell Neoplasm
C9226,Non-Hematologic Malignancy
C9343,Bone Neoplasm
C9023,Sarcoma by FNCLCC Grade
C8997,Blastoma
C121925,Intermediate Osteogenic Neoplasm
C126357,Peritoneal Solitary Fibrous Tumor
C133187,Mucosal Melanoma of the Head and Neck
C157449,Multiple Endocrine Neoplasia Type 4
C156767,Basal Cell Carcinoma
C160980,Head and Neck Neuroendocrine Carcinoma
C133564,Pathologic Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C133192,Oral Intraepithelial Neoplasia
C142833,Pulmonary Langerhans Cell Histiocytosis
C150541,Refractory Malignant Endocrine Neoplasm
C168980,Cutaneous Histiocytic and Dendritic Cell Neoplasm
C170728,Metastatic Malignant Breast Neoplasm
C170467,Metastatic Malignant Head and Neck Neoplasm
C168669,Metastatic Malignant Neoplasm in the Digestive System
C172854,Hepatobiliary Soft Tissue Neoplasm
C172942,Digestive System Leiomyoma
C165522,BAP1-Inactivated Skin Melanocytic Tumor
C173485,Head and Neck Histiocytic and Dendritic Cell Neoplasm
C173397,Laryngeal Soft Tissue Neoplasm
C175581,Breast Neuroendocrine Carcinoma
C192129,Paratesticular Carcinoma
C178443,Mucosal Melanoma of the Genitourinary System
C185044,Cutaneous Plasmacytoma
C202973,Head and Neck Plasmacytoma
C179218,Breast Periductal Stromal Tumor
C191750,Villous Adenoma of the Urinary Tract
C27368,Childhood Liver Neoplasm
C3049,Ganglioneuroma
C2970,Adenoid Cystic Carcinoma
C3042,Fibromatosis
C3571,Malignant Cranial Nerve Neoplasm
C3536,Malignant Ampulla of Vater Neoplasm
C3537,Malignant Retroperitoneal Neoplasm
C3252,Benign Granular Cell Tumor
C3510,Cutaneous Melanoma
C3620,Benign Orbit Neoplasm
C3599,Benign Gastric Neoplasm
C3602,Benign Tracheal Neoplasm
C3605,Benign Cardiac Neoplasm
C3751,Smooth Muscle Neoplasm
C3685,Microcystic Adenoma
C3686,Salivary Gland Monomorphic Adenoma
C188228,Recurrent Digestive System Neuroendocrine Neoplasm
C190075,Childhood Neuroendocrine Neoplasm
C189870,Childhood Malignant Digestive System Neoplasm
C188217,Pancreatic Mixed Ductal Adenocarcinoma-Neuroendocrine Neoplasm
C3868,Gastrointestinal Stromal Tumor
C38162,Digestive System Lymphoma
C3773,Neuroendocrine Carcinoma
C39852,Urothelial Neoplasm
C3955,Gastric Intraepithelial Neoplasia
C4054,Anal Condyloma Acuminatum
C4121,Basaloid Carcinoma
C4151,Clear Cell Adenoma
C4153,Glycogen-Rich Carcinoma
C40389,Breast Myoepithelial Tumor
C40338,Peritoneal Gastrointestinal Stromal Tumor
C43311,Germinative Follicular Epithelium Neoplasm
C4159,Lipoadenoma
C4207,Juvenile Granulosa Cell Tumor
C4580,Malignant Chest Wall Neoplasm
C4572,Malignant Intestinal Neoplasm
C4504,Malignant Breast Phyllodes Tumor
C4447,Benign Retroperitoneal Neoplasm
C4374,Pancreatic Cystadenoma
C4574,Malignant Dermal Neoplasm
C4457,Pleural Solitary Fibrous Tumor
C4634,Skin Fibroblastic Neoplasm
C4676,Skull Base Neoplasm
C4699,Gestational Trophoblastic Tumor
C48458,Non-Functioning Adrenal Cortical Adenoma
C4872,Breast Carcinoma
C54181,Columnar Cell Change of the Breast
C5429,Childhood Mediastinal Neurogenic Neoplasm
C5479,Cauda Equina Neoplasm
C5950,Basal Cell Adenoma
C62332,Central Nervous System Carcinoma
C6911,Intraneural Perineurioma
C4914,Skin Carcinoma
C5346,Endocardial Neoplasm
C5349,Myocardial Neoplasm
C4961,Malignant Peripheral Nervous System Neoplasm
C5242,Ovarian Mucinous Tumor
C5299,Sacral Intraspinal Meningioma
C6730,Sternal Neoplasm
C6624,Mediastinal Neurogenic Neoplasm
C7137,Cutaneous Mastocytosis
C71700,Recurrent Primary Central Nervous System Neoplasm
C7333,Intermediate Fibroblastic Neoplasm
C7341,Benign Epithelial Skin Neoplasm
C7379,Malignant Anal Neoplasm
C7478,Malignant Esophageal Neoplasm
C7511,Metastatic Malignant Neoplasm in the Breast
C7571,Benign Skin Melanocytic Nevus
C7617,Benign Reproductive System Neoplasm
C5112,Autonomic Nervous System Neoplasm
C5122,Trigeminal Nerve Neoplasm
C4906,Parathyroid Gland Carcinoma
C5197,Benign Nipple Neoplasm
C5193,Breast Spiradenoma
C6491,Intermediate Fibrohistiocytic Neoplasm
C6563,Childhood Kidney Neoplasm
C6535,Malignant Tenosynovial Giant Cell Tumor
C6447,Retroperitoneal Germ Cell Tumor
C7741,Digestive System Hemangioma
C95404,Digestive System Neuroendocrine Tumor
C95470,Pancreatic Serous Adenoma
C95918,"Ampullary Flat Intraepithelial Neoplasia, High Grade"
C95980,Ampulla of Vater Neuroendocrine Neoplasm
