Code	Preferred Term
C157131	Refractory Neuroendocrine Neoplasm
C188179	Refractory Neoplastic Post-Transplant Lymphoproliferative Disorder
C120186	Refractory Malignant Neoplasm
C175670	Refractory Desmoid-Type Fibromatosis
C200652	Hormone Therapy Refractory Neoplasm
C134168	Refractory Histiocytic and Dendritic Cell Neoplasm
C193458	Refractory PEComa
C202989	Refractory Lymphomatoid Granulomatosis
C193456	Refractory Solitary Fibrous Tumor
C71701	Refractory Central Nervous System Neoplasm
C192124	Borderline Paratesticular Serous Tumor
C178255	Atypical Neurofibromatous Neoplasm of Uncertain Biologic Potential
C39905	Prostate Stromal Tumor of Uncertain Malignant Potential
C27497	Glomus Tumor of Uncertain Malignant Potential
C40106	Borderline Fallopian Tube Neoplasm
C54000	Gastrointestinal Stromal Tumor of Uncertain Malignant Potential
C7503	Borderline Phyllodes Tumor
C7182	B-Cell Proliferation of Uncertain Malignant Potential
C192127	Borderline Paratesticular Mucinous Tumor
C4783	Borderline Ovarian Surface Epithelial-Stromal Tumor
C27897	T-Cell Proliferation of Uncertain Malignant Potential
C158622	Borderline Serous Cystadenofibroma
C5716	Borderline Exocrine Pancreatic Neoplasm
C4711	Borderline Cystadenoma
C126469	Borderline Broad Ligament Serous Tumor
C40024	Borderline Peritoneal Serous Tumor
C187284	Thyroid Gland Tumor of Uncertain Malignant Potential
C27880	Bladder Urothelial Proliferation of Uncertain Malignant Potential
C202851	Smooth Muscle Tumor of Uncertain Malignant Potential
C8576	Localized Malignant Neoplasm
C4952	Localized Brain Neoplasm
C8323	Amyloid Tumor
C9176	Non-Metastatic Gestational Trophoblastic Tumor
C27223	Infection-Related Malignant Neoplasm
C4925	Malignant Germ Cell Tumor
C38156	Metachronous Malignant Neoplasm
C4813	Recurrent Malignant Neoplasm
C35501	Malignant Bone Marrow Neoplasm
C4571	Malignant Respiratory System Neoplasm
C27209	Radiation-Related Malignant Neoplasm
C4013	Malignant Head and Neck Neoplasm
C7055	Precursor Lymphoid Neoplasm
C9335	Malignant Breast Neoplasm
C3224	Melanoma
C4456	Malignant Mesothelioma
C7627	Bilateral Malignant Neoplasm
C3208	Lymphoma
C3539	Malignant Splenic Neoplasm
C156714	Malignant Abdominal Neoplasm
C4090	Malignant Giant Cell Neoplasm
C8991	Malignant Mastocytosis
C4890	Malignant Digestive System Neoplasm|Malignant Gastrointestinal Neoplasm
C36052	Well Differentiated Malignant Neoplasm
C156715	Pelvis Cancer
C3729	Malignant Mixed Neoplasm
C172183	Progesterone Receptor Expressing Malignant Neoplasm
C36050	Poorly Differentiated Malignant Neoplasm
C3851	Aggravated Malignant Neoplasm
C36041	Malignant Neoplasm by Grade
C2920	Malignant Skin Neoplasm
C4005	Childhood Malignant Neoplasm
C4993	Occupational Malignant Neoplasm
C4767	Malignant Eye Neoplasm
C3575	Malignant Endocrine Neoplasm
C3520	Myeloid Sarcoma
C9226	Non-Hematologic Malignancy
C9479	Hereditary Malignant Neoplasm
C81758	Fibroblastic Reticular Cell Tumor
C167168	Obesity-Related Malignant Neoplasm
C114940	Malignant Cardiovascular Neoplasm
C27359	Unresectable Malignant Neoplasm
C35812	Malignant Lymph Node Neoplasm
C4968	Secondary Malignant Neoplasm
C36051	Undifferentiated Malignant Neoplasm
C4867	Malignant Soft Tissue Neoplasm
C201136	Solid Pseudopapillary Neoplasm
C35427	Malignant Neoplasm of Multiple Primary Sites
C166357	Malignant Musculoskeletal Neoplasm
C3161	Leukemia
C4788	Malignant Nervous System Neoplasm
C132146	Malignant Solid Neoplasm
C4992	Environment-Related Malignant Neoplasm
C6894	Malignant Solitary Fibrous Tumor
C150602	Resectable Malignant Neoplasm
C9118	Sarcoma
C156484	Malignant Genitourinary System Neoplasm
C84509	Primary Malignant Neoplasm
C8505	Invasive Malignant Neoplasm
C188021	B-Cell Malignant Neoplasm
C121500	Malignant Fibrohistiocytic Neoplasm
C156711	Malignant Peritoneal and Retroperitoneal Neoplasm
C3576	Malignant Thoracic Neoplasm
C2916	Carcinoma
C46080	Nonestrogen-Dependent Malignant Neoplasm
C36049	Moderately Differentiated Malignant Neoplasm
C27770	Immunodeficiency-Related Malignant Neoplasm
C65153	Malignant Neoplasm, Uncertain Whether Primary or Metastatic
C177364	Somatic-Type Malignancy
C4969	Therapy-Related Malignant Neoplasm
C84270	Myeloid/Lymphoid Neoplasms with Eosinophilia and Tyrosine Kinase Gene Fusions
C36025	Anaplastic Malignant Neoplasm
C3728	Hepatoblastoma
C8997	Blastoma
C3808	Rhabdoid Tumor
C6569	Congenital Mesoblastic Nephroma
C6990	Central Nervous System Embryonal Tumor
C66806	Ciliary Body Medulloepithelioma
C3717	Melanotic Neuroectodermal Tumor
C27291	Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor
C187995	Thyroblastoma
C175225	Visual Pathway Medulloepithelioma
C3716	Primitive Neuroectodermal Tumor
C7063	Notochordal Tumor
C3267	Wilms Tumor
C62279	Germ Cell Tumor (Antiquated)
C66818	Nervous System Neoplasm (Antiquated)
C6390	Gestational Trophoblastic Tumor by FIGO Stage
C92187	Pericardial Adenomatoid Tumor
C7340	Hematopoietic and Lymphoid Neoplasm (Antiquated)
C66751	Granulosa Cell-Theca Cell Tumor
C3843	Malignant Ovarian Cyst
C40136	Uterine Ligament Serous Adenocarcinoma
C66816	Spontaneously Regressed Retinoblastoma
C8597	Retro-Orbital Neoplasm
C66752	Clear Cell Neoplasm
C62241	Epithelial Neoplasm (Antiquated)
C54317	Odontoameloblastoma
C62277	Connective and Soft Tissue Neoplasm (Antiquated)
C8054	Thyroid Gland Follicular Carcinoma
C66850	Invasive Encapsulated Follicular Variant Thyroid Gland Papillary Carcinoma
C176009	Encapsulated Breast Papillary Carcinoma
C2854	Warthin Tumor
C126598	Thyroid Gland Noninvasive Follicular Neoplasm with Papillary-Like Nuclear Features
C121955	Clear Cell Papillary Renal Tumor
C156034	Encapsulated Variant Thyroid Gland Papillary Carcinoma
C3502	Thyroid Gland Follicular Adenoma
C189258	Childhood Genitourinary System Neoplasm
C190119	Childhood Head and Neck Neoplasm
C188950	Childhood Nervous System Neoplasm
C9107	Childhood Solid Tumor
C189869	Childhood Digestive System Neoplasm
C190573	Childhood Benign Neoplasm
C190123	Childhood Skin Neoplasm
C7928	Childhood Germ Cell Tumor
C189338	Childhood Breast Neoplasm
C190056	Childhood Endocrine Neoplasm
C190090	Childhood Thoracic Neoplasm
C9431	Childhood Hematopoietic Neoplasm
C188963	Childhood Connective and Soft Tissue Neoplasm
C45602	Bronchial Mixed Squamous Cell and Glandular Papilloma
C3903	Mixed Glioma
C43312	Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm
C3730	Mixed Mesodermal (Mullerian) Tumor
C4290	Mixed Germ Cell Tumor
C181078	Hybrid Salivary Gland Tumor
C5241	Mixed Germ Cell-Sex Cord-Stromal Tumor
C4157	Mixed Cell Adenoma
C3743	Fibroepithelial Neoplasm
C158616	Borderline Ovarian Mixed Epithelial Tumor/Atypical Proliferative Ovarian Mixed Epithelial Tumor
C121786	Mixed Tumor, Not Otherwise Specified
C121686	Hybrid Nerve Sheath Tumor
C139548	Vulvar Composite Hidradenoma Papilliferum and Fibroadenoma
C40181	Uterine Corpus Mixed Epithelial and Mesenchymal Neoplasm
C133091	Lung Adenofibroma
C4474	Chondroid Syringoma
C164255	Mixed Neuroendocrine Non-Neuroendocrine Neoplasm
C37263	Kidney Mixed Epithelial and Stromal Tumor
C155767	Mixed Gangliocytoma-Pituitary Neuroendocrine Tumor
C161636	Seminal Vesicle Mixed Epithelial and Stromal Tumor
C8602	Pleomorphic Adenoma
C35691	Mixed Tumor of the Salivary Gland
C40274	Vaginal Mixed Epithelial and Mesenchymal Neoplasm
C40226	Cervical Mixed Epithelial and Mesenchymal Neoplasm
C3812	Carcinoma of Unknown Primary Origin
C4199	Epithelial-Myoepithelial Carcinoma
C3286	Odontogenic Neoplasm
C9294	Histiocytic and Dendritic Cell Neoplasm
C7596	Malignant Myoepithelioma
C114451	Rare Malignant Childhood Neoplasm
C9295	Mast Cell Neoplasm
C4536	Metastatic Pituitary Gland Carcinoma|Pituitary Gland Carcinoma
C128460	Recurrent Gastrointestinal Stromal Tumor
C188180	Recurrent Neoplastic Post-Transplant Lymphoproliferative Disorder
C115445	Recurrent Childhood Renal Neoplasm
C115432	Recurrent Inverted Schneiderian Papilloma
C128637	Recurrent Respiratory Papillomatosis
C7577	Recurrent Nevus
C134172	Recurrent Histiocytic and Dendritic Cell Neoplasm
C157130	Recurrent Neuroendocrine Neoplasm
C155875	Recurrent Desmoid-Type Fibromatosis
C7887	Recurrent Gestational Trophoblastic Tumor
C115352	Recurrent Borderline Ovarian Surface Epithelial-Stromal Tumor
C7934	Recurrent Lymphomatoid Granulomatosis
C182030	Recurrent Nervous System Neoplasm
C4089	Polyposis
C172941	Inflammatory Fibroid Polyp
C34584	Endocervical Polyp
C3764	Adenomatous Polyp
C40115	Fallopian Tube Endometrioid Polyp
C8587	Precancerous Polyp
C36263	Metastatic Malignant Neoplasm
C36264	Metastatic Benign Neoplasm
C54297	Metastasizing Ameloblastoma
C4780	Benign Eye Neoplasm
C6449	Benign Germ Cell Tumor
C3762	Adenomatoid Tumor
C4789	Benign Nervous System Neoplasm
C4902	Benign Splenic Neoplasm
C8539	Benign Great Vessel Neoplasm
C4092	Benign Epithelial Neoplasm
C173932	Benign Head and Neck Neoplasm
C3217	Benign Mastocytoma
C2896	Benign Skin Neoplasm
C4565	Benign Thoracic Neoplasm
C53684	Benign Connective and Soft Tissue Neoplasm
C4505	Benign Breast Neoplasm
C4787	Benign Digestive System Neoplasm
C4274	Benign Phyllodes Tumor
C8531	Benign Respiratory System Neoplasm
C3636	Benign Lymph Node Neoplasm
C156713	Benign Peritoneal and Retroperitoneal Neoplasm
C156483	Benign Genitourinary System Neoplasm
C182235	Second Primary Tumor
C151940	Extracranial Solid Neoplasm
C127156	Unresectable Solid Neoplasm
C8101	Adult Solid Tumor
C6603	Osteogenic Neoplasm
C4063	Myomatous Neoplasm
C67237	Phosphaturic Mesenchymal Tumor
C6781	Stromal Neoplasm
C4248	Lipomatous Neoplasm
C4755	Chondrogenic Neoplasm
C6528	Pericytic Neoplasm
C8402	Fibrohistiocytic Neoplasm
C6971	Meningothelial Cell Neoplasm
C7075	Fibroblastic Neoplasm
C4972	Nerve Sheath Neoplasm
C3787	Neuroepithelial Neoplasm
C3784	Basal Cell Neoplasm
C3792	Squamous Cell Neoplasm
C6450	Thymus Epithelial Neoplasm
C3422	Trophoblastic Tumor
C4381	Ovarian Epithelial Tumor
C7342	Epithelial Skin Neoplasm
C6783	Transitional Cell Neoplasm
C3473	Choroid Plexus Neoplasm
C40141	Wolffian Tumor
C7113	Endometrioid Tumor
C8366	Intraepithelial Neoplasia
C2855	Adenoma
C7132	Glandular Cell Neoplasm
C192122	Paratesticular Epithelial Neoplasm
C7644	Adamantinoma
C3055	Giant Cell Tumor
C7161	Skin Melanocytic Neoplasm
C40335	Vulvar Melanocytic Neoplasm
C173488	Head and Neck Melanocytic Neoplasm
C5504	Central Nervous System Melanocytic Neoplasm
C7570	Melanocytic Nevus
C9498	Melanocytoma
C192144	Paratesticular Mesothelial Neoplasm
C7635	Well Differentiated Papillary Mesothelial Tumor
C9351	Pleural Mesothelial Neoplasm
C7633	Peritoneal Mesothelial Neoplasm
C121618	Germinomatous Germ Cell Tumor
C180879	Cervical Germ Cell Tumor
C128294	Vulvar Germ Cell Tumor
C114777	Adult Germ Cell Tumor
C121619	Nongerminomatous Germ Cell Tumor
C40130	Fallopian Tube Germ Cell Tumor
C8591	Testicular Germ Cell Tumor
C3873	Ovarian Germ Cell Tumor
C128112	Vaginal Germ Cell Tumor
C3918	Extragonadal Germ Cell Tumor
C9290	Myeloid Neoplasm
C27357	Refractory Hematologic Malignancy
C202954	Head and Neck Hematopoietic and Lymphoid Cell Neoplasm
C27358	Recurrent Hematopoietic and Lymphoid Cell Neoplasm
C27639	Transplant-Related Hematologic Malignancy
C45240	Cutaneous Hematopoietic and Lymphoid Cell Neoplasm
C7065	Lymphocytic Neoplasm
C5503	Central Nervous System Hematopoietic and Lymphoid Cell Neoplasm
C3809	Neuroendocrine Tumor
C4621	Benign Endocrine Neoplasm
C6432	Multiple Endocrine Neoplasia
C7335	Reproductive Endocrine Neoplasm
C94759	Functioning Endocrine Neoplasm
C94760	Non-Functioning Endocrine Neoplasm
C3377	Soft Tissue Neoplasm
C166354	Musculoskeletal Neoplasm
C5102	Lacrimal System Neoplasm
C2961	Conjunctival Neoplasm
C3436	Uveal Neoplasm
C4800	Retinal Neoplasm
C3031	Eyelid Neoplasm
C4361	Corneal Neoplasm
C3081	Heart Neoplasm
C3200	Lung Neoplasm
C3412	Thymus Neoplasm
C4929	Chest Wall Neoplasm
C35749	Axillary Neoplasm
C3221	Mediastinal Neoplasm
C6411	Intrathoracic Paravertebral Paraganglioma
C3332	Pleural Neoplasm
C4475	Dermal Neoplasm
C4463	Skin Appendage Neoplasm
C4380	Scrotal Neoplasm
C169100	Skin Soft Tissue Neoplasm
C4804	Breast Hyperplasia
C5212	Nipple Neoplasm
C40405	Breast Fibroepithelial Neoplasm
C5169	Breast Neuroendocrine Neoplasm
C36083	Breast Intraductal Neoplasm
C40406	Breast Soft Tissue Neoplasm
C27939	Lobular Neoplasia
C54180	Breast Columnar Cell Lesion
C5206	Breast Papillary Neoplasm
C5119	Nerve Root Neoplasm
C9293	Central Nervous System Neoplasm
C3321	Peripheral Nervous System Neoplasm
C2963	Cranial Nerve Neoplasm
C3357	Retroperitoneal Neoplasm
C3322	Peritoneal Neoplasm
C3431	Urinary System Neoplasm
C3674	Reproductive System Neoplasm
C27721	Digestive System Neuroendocrine Neoplasm
C3028	Esophageal Neoplasm
C2877	Anal Neoplasm
C4443	Ampulla of Vater Neoplasm
C172852	Digestive System Soft Tissue Neoplasm
C8962	Digestive System Intraepithelial Neoplasia
C4434	Appendix Neoplasm
C8614	Hepatobiliary Neoplasm
C3305	Pancreatic Neoplasm
C3387	Gastric Neoplasm
C3141	Intestinal Neoplasm
C7388	Vascular Neoplasm
C5348	Great Vessel Neoplasm
C7336	Sinonasal Neoplasm
C202977	Head and Neck Germ Cell Tumor
C3260	Neck Neoplasm
C188222	Head and Neck Neuroendocrine Neoplasm
C3375	Skull Neoplasm
C3361	Salivary Gland Neoplasm
C3290	Orbit Neoplasm
C202623	Head and Neck Soft Tissue Neoplasm
C3000	Ear Neoplasm
C202879	Head and Neck Phosphaturic Mesenchymal Tumor
C8989	Oral Neoplasm
C35370	Bone Marrow Neoplasm
C3383	Splenic Neoplasm
C35497	Lymph Node Neoplasm
C3419	Tracheal Neoplasm
C3382	Intraspinal Neoplasm
C168698	Cervical Spine Neoplasm
C168674	Sacral Spine Neoplasm
C168694	Lumbosacral Spine Neoplasm
C5156	Spinal Chordoma
C168673	Lumbar Spine Neoplasm
C168672	Thoracic Spine Neoplasm
C192106	Testicular Cystic Trophoblastic Tumor
C6897	Cystic Partially Differentiated Kidney Nephroblastoma
C157745	Childhood Cystic Nephroma
C9012	Adult Cystic Teratoma
C7283	Ovarian Cystic Teratoma
C9011	Dermoid Cyst
C3783	Serous Cystadenoma
C35833	Salivary Gland Cystadenoma
C2974	Papillary Cystadenoma
C162483	Epididymal Cystadenoma
C4374	Pancreatic Cystadenoma
C4060	Ovarian Cystadenoma
C161606	Prostate Cystadenoma
C40019	Rete Ovarii Cystadenoma
C39907	Seminal Vesicle Cystadenoma
C2973	Mucinous Cystadenoma
C148077	Recurrent Craniopharyngioma
C7816	Childhood Craniopharyngioma
C4726	Adamantinomatous Craniopharyngioma
C4010	Adult Craniopharyngioma
C148076	Unresectable Craniopharyngioma
C4725	Papillary Craniopharyngioma
C3874	Pancreatic Cystadenocarcinoma
C41247	Pancreatic Mucinous-Cystic Neoplasm
C189029	Childhood Aneurysmal Bone Cyst
C3776	Mucinous Cystadenocarcinoma
C5980	Salivary Gland Cystadenocarcinoma
C5228	Ovarian Cystadenocarcinoma
C3778	Serous Cystadenocarcinoma
C3777	Papillary Cystadenocarcinoma
C6536	Peritoneal Multicystic Mesothelioma
C35834	Salivary Gland Intraductal Papilloma
C27919	Old Burn Scar-Related Skin Melanoma
C27918	Old Burn Scar-Related Skin Squamous Cell Carcinoma
C27929	Alcohol-Related Laryngeal Carcinoma
C27924	Alcohol-Related Hepatocellular Carcinoma
C27928	Alcohol-Related Esophageal Squamous Cell Carcinoma
C7232	Neoplastic Post-Transplant Lymphoproliferative Disorder
C45163	Borrelia Burgdoferi-Associated Primary Cutaneous Marginal Zone Lymphoproliferative Disorder
C27772	Cigarette Smoking-Related Carcinoma
C27773	Tobacco Chewing-Related Carcinoma
C5291	Radiation-Induced Intracranial Meningioma
C39783	Retinal Hemangioblastoma
C7007	Central Nervous System Hemangioblastoma
C157450	Peripheral Hemangioblastoma
C202897	Head and Neck GLI1-Altered Soft Tissue Tumor
C8430	Ovarian Papillary Tumor
C7440	Papilloma
C40116	Fallopian Tube Metaplastic Papillary Tumor
C7130	Gallbladder Intracholecystic Papillary Neoplasm
C6881	Bile Duct Intraductal Papillary Neoplasm
C79951	Papillary Adenoma
C3713	Papillomatosis
C27883	Papillary Urothelial Neoplasm
C95913	Ampullary Noninvasive Papillary Neoplasm, Pancreatobiliary Type
C174022	Aggressive Papillary Tumor
C2927	Papillary Carcinoma
C121933	Malignant Osteoclastic Giant Cell-Rich Tumor of Bone
C121931	Intermediate Osteoclastic Giant Cell-Rich Tumor of Bone
C27477	Benign Osteoclastic Giant Cell-Rich Tumor of Bone
C189023	Childhood Chondroblastoma
C173895	Maxillofacial Chondroblastoma
C173900	Maxillofacial Desmoplastic Fibroma
C185035	Multiple Solitary Plasmacytoma of Bone
C165742	Refractory Neuroendocrine Carcinoma
C158088	Refractory Digestive System Neuroendocrine Neoplasm|Refractory Gastroenteropancreatic Neuroendocrine Tumor
C138184	Refractory Abdominal Neuroendocrine Neoplasm
C158401	Refractory Paraganglioma
C157477	Refractory Polymorphic Post-Transplant Lymphoproliferative Disorder
C157475	Refractory Monomorphic Post-Transplant Lymphoproliferative Disorder
C8511	Refractory Carcinoma
C150527	Refractory Malignant Female Reproductive System Neoplasm
C153842	Refractory Malignant Central Nervous System Neoplasm
C150543	Refractory Malignant Urinary System Neoplasm
C153286	Refractory Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor
C123739	Refractory Malignant Germ Cell Tumor
C150535	Refractory Malignant Mesothelioma
C152078	Refractory Malignant Head and Neck Neoplasm
C150537	Refractory Malignant Soft Tissue Neoplasm
C162703	Refractory Childhood Malignant Neoplasm
C173565	Refractory Primitive Neuroectodermal Tumor
C150525	Refractory Malignant Bone Neoplasm
C150529	Refractory Malignant Neoplasm of Multiple Primary Sites
C150541	Refractory Malignant Endocrine Neoplasm
C147983	Refractory Melanoma
C148099	Refractory Malignant Thymoma
C193453	Refractory Malignant Phyllodes Tumor
C133737	Refractory Malignant Solid Neoplasm
C148301	Refractory Sarcoma
C188038	Refractory Wilms Tumor
C148512	Refractory Human Papillomavirus-Related Malignant Neoplasm
C142858	Refractory Rhabdoid Tumor
C150546	Refractory Malignant Skin Neoplasm
C150534	Refractory Malignant Male Reproductive System Neoplasm
C136489	Refractory Erdheim-Chester Disease
C156104	Refractory Blastic Plasmacytoid Dendritic Cell Neoplasm
C134177	Refractory Langerhans Cell Histiocytosis
C172953	Refractory Meningioma
C71702	Refractory Brain Neoplasm
C147107	Refractory Glioma
C187214	Refractory Childhood Central Nervous System Neoplasm
C71703	Refractory Spinal Cord Neoplasm
C40108	Borderline Fallopian Tube Mucinous Tumor
C40107	Borderline Fallopian Tube Serous Tumor
C40110	Borderline Fallopian Tube Endometrioid Tumor
C95898	Gastric Gastrointestinal Stromal Tumor of Uncertain Malignant Potential
C181907	Borderline Vulvar Phyllodes Tumor
C5316	Borderline Breast Phyllodes Tumor
C7930	Lymphomatoid Granulomatosis
C138191	In Situ Mantle Cell Neoplasia
C138181	In Situ Follicular Neoplasia
C7183	Polymorphic Post-Transplant Lymphoproliferative Disorder
C179251	Borderline Ovarian Endometrioid Tumor
C179259	Borderline Ovarian Seromucinous Tumor
C40080	Borderline Ovarian Clear Cell Tumor
C40036	Borderline Ovarian Mucinous Tumor
C5226	Borderline Ovarian Serous Tumor
C94824	Stage III Borderline Ovarian Surface Epithelial-Stromal Tumor
C94821	Stage I Borderline Ovarian Surface Epithelial-Stromal Tumor
C9459	Borderline Ovarian Brenner Tumor
C94822	Stage II Borderline Ovarian Surface Epithelial-Stromal Tumor
C94825	Stage IV Borderline Ovarian Surface Epithelial-Stromal Tumor
C7196	Borderline Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder
C3721	Lymphomatoid Papulosis
C40029	Borderline Ovarian Serous Cystadenofibroma
C4845	Pancreatic Intraepithelial Neoplasia
C95488	Non-Invasive Pancreatic Mucinous-Cystic Neoplasm
C41251	Pancreatic Intraductal Papillary-Mucinous Neoplasm, High Grade
C41249	Pancreatic Intraductal Papillary-Mucinous Neoplasm, Low Grade
C95506	Pancreatic Intraductal Tubulopapillary Neoplasm
C4178	Borderline Papillary Cystadenoma
C4177	Borderline Serous Cystadenoma
C27729	Thyroid Gland Well-Differentiated Tumor of Uncertain Malignant Potential
C155978	Thyroid Gland Follicular Tumor of Uncertain Malignant Potential
C202852	Sinonasal Smooth Muscle Tumor of Uncertain Malignant Potential
C181941	Female Reproductive System Smooth Muscle Tumor of Uncertain Malignant Potential
C27901	Localized Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor
C176558	Localized Sarcoma
C4954	Localized Malignant Brain Neoplasm
C7625	Localized Carcinoma
C190685	Localized Malignant Solid Neoplasm
C4938	Localized Lymphoma
C165631	Localized Malignant Pancreatic Neoplasm
C9239	Localized Malignant Mesothelioma
C27294	Localized Primitive Neuroectodermal Tumor
C35676	Localized Malignant Gallbladder Neoplasm
C150573	Localized Cerebral Neoplasm
C27673	Virus-Related Malignant Neoplasm
C27766	Parasite-Related Malignant Neoplasm
C27760	Bacterium-Related Malignant Neoplasm
C8881	Malignant Extragonadal Germ Cell Tumor
C9309	Seminoma
C9063	Malignant Testicular Germ Cell Tumor
C66776	Gonadal Polyembryoma
C4287	Malignant Teratoma
C5381	Pulmonary Artery Choriocarcinoma
C3011	Yolk Sac Tumor
C3752	Embryonal Carcinoma
C4514	Malignant Ovarian Germ Cell Tumor
C132854	Metastatic Germ Cell Tumor
C6541	Childhood Malignant Germ Cell Tumor
C132853	Recurrent Germ Cell Tumor
C38157	Metachronous Osteosarcoma
C38158	Metachronous Kidney Wilms Tumor
C152077	Recurrent Malignant Head and Neck Neoplasm
C7905	Recurrent Malignant Thymoma
C148510	Recurrent Human Papillomavirus-Related Malignant Neoplasm
C179465	Recurrent Malignant Abdominal Neoplasm
C9263	Recurrent Malignant Duodenal Neoplasm
C162702	Recurrent Childhood Malignant Neoplasm
C7619	Recurrent Carcinoma
C94796	Locally Recurrent Malignant Neoplasm
C170726	Recurrent Malignant Breast Neoplasm
C150536	Recurrent Malignant Soft Tissue Neoplasm
C150524	Recurrent Malignant Bone Neoplasm
C179463	Recurrent Malignant Retroperitoneal Neoplasm
C154608	Recurrent Metastatic Malignant Neoplasm
C153823	Recurrent Malignant Central Nervous System Neoplasm
C7866	Recurrent Malignant Mesothelioma
C150545	Recurrent Malignant Skin Neoplasm
C131501	Recurrent Subsequent Malignant Neoplasm
C127153	Relapsed Solid Tumor
C142849	Recurrent Rhabdoid Tumor
C9354	Recurrent Malignant Gastric Neoplasm
C131500	Recurrent Primary Malignant Neoplasm
C150540	Recurrent Malignant Endocrine Neoplasm
C177724	Recurrent Malignant Genitourinary System Neoplasm
C148302	Recurrent Sarcoma
C27912	Myeloid Neoplasm Post Cytotoxic Therapy
C27262	Myelodysplastic/Myeloproliferative Disease
C7064	Erythroid Neoplasm
C7066	Megakaryocytic Neoplasm
C3247	Myelodysplastic Syndrome
C4582	Metastatic Malignant Neoplasm in the Bone Marrow
C3172	Myeloid Leukemia
C4345	Myeloproliferative Neoplasm
C7377	Malignant Lung Neoplasm
C9346	Malignant Tracheal Neoplasm
C156885	Malignant Bronchial Neoplasm
C27930	Ionizing Radiation-Related Malignant Neoplasm
C26814	Radiation-Related Leukemia
C27776	Solar Radiation-Related Malignant Neoplasm
